ovvLALPAQQchfijlmimkjlnnmnaameoogoccoppbm_02211110122002 F1 1 G 1 N 1 [2] [6,1,7] Z []
ovvLAMLPQQchfiggkkmnllknmnmmqaavvaqrgrqaw_21001222220010 F0 1 G 1 N 1 [2] [6,3,5] Z []
ovvLAvQPQQcghifikmljnnmlmndtmagbcvfdtggga_20110211000220 F0 1 G 1 N 1 [2] [8,0,6] Z []
ovvLLMQzQQcffigfkjilmnnmnmaqqaqoffflduuha_21111020022021 F0 1 G 2 E 1 [12] [10,2,2] Z ['K14n17954']
ovvLLwPQQQcgihmilknnjnmlmlmpufgforvswfjck_02211110110000 F0 1 G 4 N 1 [2] [8,0,6] Z []
pLLLLMLPQzQceggghlljkmlnooohhhagvhhiagghhrw_022210000012122 F0 1 G 1 N 1 [2] [8,7,0] Z []
pLLLLMvPQMQceggghmjknlnomoohhhagvaiaggwejtq_022210000012212 F0 1 G 1 N 1 [2] [8,7,0] Z []
pLLLMvLAQPQcdgfhmjinlkooonnhshashqqxffxxaip_122201101122201 F1 1 G 2 N 1 [2] [4,0,11] Z []
pLLLwzLPQPQcdgfhmiklmkoonnohshajhhfjbsaasba_122201102222221 F1 1 G 1 N 1 [2] [6,3,6] Z []
pLLvALzAAQQcdfhikhmjkomnnoohsadxpnaffawxatj_122201112222210 F1 1 G 1 N 1 [2] [6,3,6] Z []
pLLvLPzzQQQbegkgjjnomnlomnoxxdxvrfpxtdcvosg_102211111002222 F0 1 G 1 N 1 [2] [10,2,3] Z []
pLLvPMLPPPQcdhigjijmllnonoohshvbavqqffjasqh_100012112000002 F0 1 G 1 N 1 [2] [6,3,6] Z []
pLLvwwzQMQQcdfglnimklkoononhsabtabihffjjbob_122201110222222 F1 1 G 1 N 1 [2] [6,5,4] Z []
pLLvzLPPQAQcdhjkkjnmkljmooohshtphhaqpxtfxha_100012112220001 F0 1 G 2 N 1 [2] [6,5,4] Z []
pLvLAvvQQQQcfghnomlkjonmmnohialatihqhfjvcjf_201022202101000 F0 1 G 2 E 1 [12] [8,2,5] Z []
pLvLAvwQQAQcfghkmnklkjnmooohialaatihqhfjxet_201022202101000 F0 1 G 2 E 1 [12] [8,1,6] Z []
pLvLwvMQAQQcfglmnklimmknooohiaadaaigdhlpson_201022202210100 F1 1 G 1 E 1 [12] [8,0,7] Z ['K12n411']
pLvvLLAPQQQcekmjknomonlonlmqqwiwwqqqaaqaapg_022211000012211 F1 1 G 1 N 1 [2] [10,2,3] Z []
pLvvLLMQQPQbhgljlnljjkomnoohdbmbaiukkfdicnw_120000122112211 F0 1 G 1 N 1 [2] [10,5,0] Z []
pLvvQAPLwQQcgfehijklmonnonohaaaggaaaaaaeeee_201022200001122 F0 1 G 1 N 1 [2] [2,0,13] Z ['v0959','K7_39']
pLvvwvMQQQQcghlihmnjlomnlooqafejjmhfthutqcw_210122211220101 F0 1 G 2 N 1 [2] [8,7,0] Z []
pLvwMPMzAPQbegfggjilkmnonoohehprwafawwqaqqf_211122022110122 F0 1 G 1 N 1 [2] [8,5,2] Z []
pLvwMPwAAPQbegfgghjlkmononohehprwwxawwhhahg_120000222100122 F0 1 G 1 N 1 [2] [10,1,4] Z []
pvLALAPLwQQcdfgihjkmlnoonnoffaqaaaaaaaaiiii_022220011112200 F0 1 G 1 N 1 [2] [4,3,8] Z ['K14n26229']
pvLALLLMAQQcdfhiljljnlmoonoffaloaoufqeeibjs_022220011001121 F0 1 G 1 N 1 [2] [8,5,2] Z []
pvLALPzLQMQcdfhigknmlnmloooffalafaalullfaiq_200002222100102 F0 1 G 1 N 1 [2] [4,0,11] Z []
pvLALvLAQQQcdfhjlnojkmlnonoffalsetafbxeafvf_200002222120000 F0 1 G 1 N 1 [2] [8,1,6] Z []
pvLALvQALQQcdfhikjlkonlmnooffaljjjebhhejgbj_022220011111022 F1 1 G 1 N 1 [2] [8,4,3] Z []
pvLALvzMQQQcdfhklmljknomonoffalfeuufbqdtffg_022220011001122 F0 1 G 1 N 1 [2] [8,6,1] Z []
pvLAvLPPAQQcdfhlkjnmkolmnooffajjjfhmgljtajg_022220011011120 F1 1 G 1 N 1 [2] [8,4,3] Z []
pvLAvzzPQQQcdfimnommlolnonlffaaaqqqqququuuq_200002222110011 F0 1 G 1 N 1 [2] [4,4,7] Z []
pvLLLLLQMQQegfjlkjmkjnomnoogeeivgohfkqtamfw_210010021122122 F0 1 G 1 N 1 [2] [10,3,2] Z []
pvLLLLMAMQQefgjhlmjlmonomnogppigvdckqmqtmqj_210010021122200 F1 1 G 1 N 1 [2] [12,1,2] Z []
pvLLLMLAPQQcdhghjmilknoonnonktigbaktbamvwvv_100001111112000 F0 1 G 1 N 1 [2] [8,7,0] Z []
pvLLLwQwMQQcdfijlkjlmonomnovvxtwxssemmumgnc_011112202221121 F1 1 G 1 N 1 [2] [10,3,2] Z []
pvLLPvAwQQQegfghlmkjnlmnoooolphgvlfchbailfv_100001211121120 F1 1 G 1 E 1 [12] [10,4,1] Z []
pvLLvLAQMQQcdgilhkmkolnnoonwrrgvvgnrqceadde_102021111111120 F1 1 G 1 N 1 [2] [10,3,2] Z []
pvLLvPAPAQQcdghlknmlnkomomovvxgvspavxvaxipb_100001111122220 F0 1 G 1 N 1 [2] [8,5,2] Z []
pvLLvPLMQQQefjkhnmjlojonnmocamagaaccechhhhg_011112220022111 F0 1 G 1 N 1 [2] [6,8,1] Z ['K12n679']
pvLLvPLQQMQefjkhnimjlknmooocamagacaccwxlagg_011112220022110 F1 1 G 1 N 1 [2] [10,3,2] Z ['K13n4368']
pvLLwPLzQQQefgijklinolmlonocaemabacehhhhfff_011112220220000 F1 1 G 1 N 1 [2] [10,0,5] Z []
pvLLwzPPPQQegdjjlnjonkmloonsxjavtlcexsptggv_100001212122202 F1 1 G 1 N 1 [2] [6,2,7] Z []
pvLvALvQQQQceijlmjlmnkoomnojjajoijjahbuxtmg_122220101010220 F0 1 G 1 N 1 [2] [8,5,2] Z []
pvLvAwQLPQQchiglkjmnmomnoonbuaabbjthhuhahha_122221111000222 F0 1 G 1 N 1 [2] [8,2,5] Z []
pvLvLLMMQQQcfhljikomnlnlmoonaavvncqcqjijjir_100001111222222 F0 1 G 3 N 1 [2] [6,3,6] Z []
pvLvLLMQQPQejkhjijlknmomonogaigjjjgcmsxopmj_210010021112212 F0 1 G 1 N 1 [2] [8,1,6] Z ['K12n366']
pvLvLPPAMQQeihkjililnomnmoorattrgbgjuplpusg_122221101000001 F0 1 G 1 N 1 [2] [8,3,4] Z []
pvLvLvQQMQQegkjlhikmlmnnoooragrfgcjgbgbrmhh_122221101000112 F0 1 G 1 N 1 [2] [8,3,4] Z ['K14n18799']
pvLvvLPQQQQeigklmonlkmlnonokdknnoafovcofakq_022110010100002 F0 1 G 1 N 1 [2] [8,1,6] Z []
pvvLAAzLQQQgfhiijonmknmoonmmmattvaamwmxqqqx_102021220200211 F0 1 G 1 N 1 [2] [14,0,1] Z ['K13n3354']
pvvLAAzwQQQgfhiijjnmomnoonmmmattvoamaxmmmmx_102021220200200 F0 1 G 1 N 1 [2] [10,2,3] Z ['K13n3054']
pvvLALPzQQQfgggkjjoknmlnoonaaaaggghghcnaiia_011112022220011 F0 1 G 1 N 1 [2] [6,6,3] Z []
pvvLLAMPMQQfgjikllimnnomoonaaetakjgalxmqqmr_011222022011020 F0 1 G 1 N 1 [2] [12,2,1] Z ['K14n11242']
pvvLLAwQMQQfgjikmlinmolnonoaaetatjgaaxftttg_011222022011111 F0 1 G 1 N 1 [2] [8,4,3] Z ['K14n18339']
pvvLLLPMQQQgijkminljknoomnohaagngnbgbchabbe_120201111100112 F1 1 G 2 N 1 [2] [8,6,1] Z []
qLLLAAPLzAMkcegfgghjilmmnopppqqqaqofaaacvaaxxa_1222011122111221 F0 1 G 1 N 1 [2] [4,0,12] Z ['t12755','K8_300']
qLLLAwPLLAQkcegfggkijnomopnppqqqaqoadfxxlxffvc_1222011112202111 F0 1 G 1 N 1 [2] [6,3,7] Z []
qLLLLMvLQPQkceggghjknlmoponpphhhagviaggvsegopl_0222100000122122 F0 1 G 1 N 1 [2] [10,5,1] Z []
qLLLLMvPAMQkceggghmjknlnopopphhhagvaiagfvhxdls_0222100000122110 F0 1 G 1 N 1 [2] [10,5,1] Z []
qLLLMvLLMQQkcdgfhmmnolnnplpophshashbforrraraba_1222011022222221 F1 1 G 1 N 1 [2] [6,2,8] Z []
qLLvALLAMPQkcdfekhmlmmnpoopophsahhnahbghpippjo_1222011122202100 F1 1 G 1 N 1 [2] [8,2,6] Z []
qLLvLMMzAMQkcdigkjimjnnmpopophsvbasvagtksushba_1000121121010221 F0 1 G 1 N 1 [2] [10,3,3] Z []
qLLvLPAvAQQkbefkgikmklnnopnppxxxxrgmldearbvksj_1022101010001122 F0 1 G 2 N 1 [2] [10,5,1] Z []
qLLvLPAvQAQkbefkgikmkolnoopppxxxxrgmldheabnpqx_1022101010001122 F0 1 G 2 N 1 [2] [12,4,0] Z []
qLLvLvLQPQQkcdhmnjnknploompmphsgaagaphhhlbbgbn_1222011110220200 F1 1 G 1 N 1 [2] [6,7,3] Z []
qLLvLvzQQMQkcdgknomklnmkmpopphsgilauqppaquvnvv_1000121121200000 F0 1 G 1 N 1 [2] [8,5,3] Z []
qLLvvMvPQQQkbegiojmlkpnlponpoxxvvufiacdlaavoso_2111200202012221 F0 1 G 1 N 1 [2] [8,5,3] Z []
qLLvvMwLQQQkbegihjlkmnlonopppxxvvgfacllaavbgnb_2111200202011211 F0 1 G 1 N 1 [2] [8,5,3] Z []
qLLvvPLQAPQkbeljnikmjnlpooopphhhcekfafeiaioccc_1200112211120020 F0 1 G 1 N 1 [2] [8,6,2] Z []
qLLvzLLzQQQkbehkmlpkmomnlppoohhaaaqhqxxxxarrsj_1200111111000002 F0 1 G 2 N 1 [2] [6,9,1] Z []
qLLvzzLLQQQkbehkmlplmomnplpoohhahaqaqxxxxqgwsj_1200111111200000 F0 1 G 2 N 1 [2] [4,10,2] Z []
